MACCS_ID_8: [!#6;!#1]1~*~*~*~1
MACCS_ID_11: [R]1@*@*@*@1
MACCS_ID_13: [#8]~[#7](~[#6])~[#6]
MACCS_ID_14: [#16]-[#16]
MACCS_ID_15: [#8]~[#6](~[#8])~[#8]
MACCS_ID_16: [R!#6!#1]1~*~*~1
MACCS_ID_17: [#6]#[#6]
MACCS_ID_19: [R]1@*@*@*@*@*@*@1
MACCS_ID_20: [Si]
MACCS_ID_21: [#6]=[#6](~[!#6;!#1])~[!#6;!#1]
MACCS_ID_22: [R]1@*@*@1
MACCS_ID_23: [#7]~[#6](~[#8])~[#8]
MACCS_ID_24: [#7]-[#8]
MACCS_ID_25: [#7]~[#6](~[#7])~[#7]
MACCS_ID_26: [#6]=;@[#6](@*)@*
MACCS_ID_27: [I]
MACCS_ID_28: [!#6;!#1]~[CH2]~[!#6;!#1]
MACCS_ID_29: [#15]
MACCS_ID_30: [#6]~[!#6;!#1](~[#6])(~[#6])~*
MACCS_ID_31: [!#6;!#1]~[F,Cl,Br,I]
MACCS_ID_32: [#6]~[#16]~[#7]
MACCS_ID_33: [#7]~[#16]
MACCS_ID_34: [CH2]=*
MACCS_ID_36: [#16R]
MACCS_ID_37: [#7]~[#6](~[#8])~[#7]
MACCS_ID_38: [#7]~[#6](~[#6])~[#7]
MACCS_ID_39: [#8]~[#16](~[#8])~[#8]
MACCS_ID_40: [#16]-[#8]
MACCS_ID_41: [#6]#[#7]
MACCS_ID_42: F
MACCS_ID_43: [!C;!c;!#1;!H0]~*~[!C;!c;!#1;!H0]
MACCS_ID_45: [#6]=[#6]~[#7]
MACCS_ID_46: Br
MACCS_ID_47: [#16]~*~[#7]
MACCS_ID_48: [#8]~[!#6;!#1](~[#8])(~[#8])
MACCS_ID_49: [!+0]
MACCS_ID_50: [#6]=[#6](~[#6])~[#6]
MACCS_ID_51: [#6]~[#16]~[#8]
MACCS_ID_52: [#7]~[#7]
MACCS_ID_53: [!#6;!#1;!H0]~*~*~*~[!#6;!#1;!H0]
MACCS_ID_54: [!#6;!#1;!H0]~*~*~[!#6;!#1;!H0]
MACCS_ID_55: [#8]~[#16]~[#8]
MACCS_ID_56: [#8]~[#7](~[#8])~[#6]
MACCS_ID_57: [#8R]
MACCS_ID_58: [!#6;!#1]~[#16]~[!#6;!#1]
MACCS_ID_59: [#16]!:*:*
MACCS_ID_60: [#16]=[#8]
MACCS_ID_61: [#16](~*)(~*)~*
MACCS_ID_62: [R]!@[R]
