Output of the command:

   javancss -function c:\jdk1.1.1\src\java\util\Vector.java

Nr. NCSS CCN Function
  1    4   1 java.util.Vector.Vector(int,int)
  2    2   1 java.util.Vector.Vector(int)
  3    2   1 java.util.Vector.Vector()
  4    4   2 java.util.Vector.copyInto(Object[])
  5    6   2 java.util.Vector.trimToSize()
  6    9   3 java.util.Vector.ensureCapacity(int)
  7    7   3 java.util.Vector.setSize(int)
  8    2   1 java.util.Vector.capacity()
  9    2   1 java.util.Vector.size()
 10    2   1 java.util.Vector.isEmpty()
 11    2   1 java.util.Vector.elements()
 12    2   1 java.util.Vector.contains(Object)
 13    2   1 java.util.Vector.indexOf(Object)
 14    5   3 java.util.Vector.indexOf(Object,int)
 15    2   1 java.util.Vector.lastIndexOf(Object)
 16    5   3 java.util.Vector.lastIndexOf(Object,int)
 17    6   3 java.util.Vector.elementAt(int)
 18    4   2 java.util.Vector.firstElement()
 19    4   2 java.util.Vector.lastElement()
 20    4   2 java.util.Vector.setElementAt(Object,int)
 21   11   4 java.util.Vector.removeElementAt(int)
 22    7   2 java.util.Vector.insertElementAt(Object,int)
 23    3   1 java.util.Vector.addElement(Object)
 24    6   2 java.util.Vector.removeElement(Object)
 25    4   2 java.util.Vector.removeAllElements()
 26    7   2 java.util.Vector.clone()
 27   12   3 java.util.Vector.toString()
 28    3   1 java.util.VectorEnumerator.VectorEnumerator(Vector)
 29    2   1 java.util.VectorEnumerator.hasMoreElements()
 30    5   2 java.util.VectorEnumerator.nextElement()
Average Function NCSS: 4.53
Average Function CCN:  1.83
Program NCSS:          145
