symb	type	cdk.symb	hdef
CR	1	C	HC
C=C	2	Csp2	HC
CSP2	2	Csp2	HC
C=O	3	C=	HC
C=N	3	C=	HC
CGD	3	C=	HC
C=OR	3	C=	HC
C=ON	3	C=	HC
CONN	3	C=	HC
COO	3	C=	HC
COON	3	C=	HC
COOO	3	C=	HC
C=OS	3	C=	HC
C=S	3	C=	HC
C=SN	3	C=	HC
CSO2	3	C=	HC
CS=O	3	C=	-
CSS	3	C=	HC
C=P	3	C=	HC
CSP	4	Csp	HC
=C=	4	Csp	HC
HC	5	HC	-
HSI	5	HC	-
OR	6	O	HOR
OC=O	6	O	HOCO
OC=C	6	O	HOCC
OC=N	6	O	HOCN
OC=S	6	O	HOCS
ONO2	6	O	HON
ON=O	6	O	HON
OSO3	6	O	HOS
OSO2	6	O	HOS
OSO	6	O	HOS
OS=O	6	O	HOS
-OS	6	O	HOS
OPO3	6	O	HOP
OPO2	6	O	HOP
OPO	6	O	HOP
-OP	6	O	HOP
-O-	6	O	HO
O=C	7	O=	-
O=CN	7	O=	-
O=CR	7	O=	-
O=CO	7	O=	-
O=N	7	O=	-
O=S	7	O=	-
O=S=	7	O=	-
NR	8	N	HNR
N=C	9	N=C	HN=C
N=N	9	N=C	HN=C
NC=O	10	NC=O	HNCO
NC=S	10	NC=O	HNCS
NN=C	10	NC=O	HNNC
NN=N	10	NC=O	HNNN
F	11	F	HX
CL	12	CL	HX
BR	13	BR	HX
I	14	I	HX
S	15	S	HS
S=C	16	S=C	-
S=O	17	>SN	-
>S=N	17	>SN	HS=N
SO2	18	SO2	-
SO2N	18	SO2	-
SO3	18	SO2	-
SO4	18	SO2	-
=SO2	18	SO2	-
SNO	18	SO2	HSNO
SI	19	SI	HSI
CR4R	20	CR4R	HC
HOR	21	HO	-
HO	21	HO	-
HOM	21	HO	-
HOCS	21	HO	-
HON	21	HO	-
CR3R	22	CR3R	HC
HNR	23	HN	-
H3N	23	HN	-
HPYL	23	HN	-
HNOX	23	HN	-
HNM	23	HN	-
HN	23	HN	-
HOCO	24	HOCO	-
HOP	24	HOCO	-
PO4	25	PTET	-
PO3	25	PTET	HP
PO2	25	PTET	HP
PO	25	PTET	HP
PTET	25	PTET	HP
P	26	P	HP
HN=N	27	HN=C	-
HN=C	27	HN=C	-
HNCO	28	HN2	-
HNCS	28	HN2	-
HNCC	28	HN2	-
HNCN	28	HN2	-
HNNC	28	HN2	-
HNNN	28	HN2	-
HNSO	28	HN2	-
HNPO	28	HN2	-
HNC%	28	HN2	-
HSP2	28	HN2	-
HOCC	29	HOCC	-
HOCN	29	HOCC	-
CE4R	30	CE4R	HC
HOH	31	HOH	-
O2CM	32	OX	-
OXN	32	OX	-
O2N	32	OX	-
O2NO	32	OX	-
O3N	32	OX	-
O-S	32	OX	-
O2S	32	OX	-
O3S	32	OX	-
O4S	32	OX	-
OSMS	32	OX	-
OP	32	OX	-
O2P	32	OX	-
O3P	32	OX	-
O4P	32	OX	-
O4CL	32	OX	-
HOS	33	HOS	-
NR+	34	N+	HNR+
OM	35	OM	HOM
OM2	35	OM	-
HNR+	36	HN+	-
HIM+	36	HN+	-
HPD+	36	HN+	-
HNN+	36	HN+	-
HNC+	36	HN+	-
HGD+	36	HN+	-
HN5+	36	HN+	-
CB	37	Car	HC
NPYD	38	NPYD	-
NPYL	39	NPYL	HPYL
NC=C	40	NC=C	HNCC
NC=N	40	NC=C	HNCN
NC=P	40	NC=C	-
NC%C	40	NC=C	HNC%
CO2M	41	CO2M	HC
CS2M	41	CO2M	HC
NSP	42	NSP	-
NSO2	43	NC#N	HNSO
NSO3	43	NC#N	HNSO
NPO2	43	NC#N	HNPO
NPO3	43	NC#N	HNPO
NC%N	43	NC#N	HNC%
STHI	44	Sthi	-
NO2	45	NO3	HNO2
NO3	45	NO3	-
N=O	46	N=O	HNO
NAZT	47	NAZT	-
NSO	48	NSO	HNSO
O+	49	O+	HO+
HO+	50	HO+	-
O=+	51	O=+	HO=+
HO=+	52	HO=+	-
=N=	53	=N=	-
N+=C	54	N+=	HNC+
N+=N	54	N+=	HNN+
NCN+	55	NCN+	HNN+
NGD+	56	NGD+	HGD+
CGD+	57	CNN+	HC
CNN+	57	CNN+	HC
NPD+	58	NPD+	HPD+
OFUR	59	Oar	-
C%	60	C%	-
NR%	61	NR%	-
NM	62	NM	HNM
C5A	63	C5A	HC
C5B	64	C5B	HC
N5A	65	N5A	-
N5B	66	N5B	-
N2OX	67	N2OX	HNOX
N3OX	68	N3OX	HNOX
NPOX	69	NPOX	-
OH2	70	OH2	HOH
HS	71	HP	-
HS=N	71	HP	-
HP	71	HP	-
S-P	72	SX	-
S2CM	72	SX	-
SM	72	SX	-
SSMO	72	SX	-
SO2M	73	SO2M	-
SSOM	73	SO2M	-
=S=O	74	=SO	-
-P=C	75	-P=C	HP
N5M	76	N5M	-
CLO4	77	CL04	-
C5	78	C5	HC
N5	79	N5	-
CIM+	80	CIM+	HC
NIM+	81	N5+	HIM+
N5A+	81	N5+	HN5+
N5B+	81	N5+	HN5+
N5+	81	N5+	HN5+
N5AX	82	N5OX	-
N5BX	82	N5OX	-
N5OX	82	N5OX	-
FE+2	87	FE+2	-
FE+3	88	FE+3	-
F-	89	F-	-
CL-	90	CL-	-
BR-	91	BR-	-
LI+	92	LI+	-
NA+	93	NA+	-
K+	94	K+	-
ZINC	95	ZN+2	-
ZN+2	95	ZN+2	-
CA+2	96	CA+2	-
CU+1	97	CU+1	-
CU+2	98	CU+2	-
MG+2	99	MG+2	-
